Uttara 1
Uttara 2 
Uttara 3 
Uttara 4 
Uttara 5 
Uttara 6 
Uttara 7 
Uttara 8
Uttara 9 
Uttara 10
Uttara 11 
Uttara 12
Uttara 13
Uttara 14
Abdullahpur 
Purakrai 
Shailpur 
Faidabad 
Baunia 
Dakshin Khan
Ranabola
Khilkhet
Kuril
Kuratali
Joarsahara
Alipara 
Jagannathpur
Nikunj 1
Nikunj 2
Tanpara
Mirpur 12 Block A
Mirpur 12 Block B
Mirpur 12 Block C
Mirpur 12 Block D
Mirpur 12 Block Dha
Mirpur 12 Block E
Mirpur 12 Block Tha
Mirpur 12 Duip Area
Mirpur 12 Sagufta
Mirpur 9 Block B
North Kalshi 
Burir Tech 
Kalshi Sarkar Bari
Sagupta
Mirpur 10 Block A 
Mirpur 10 Block B 
Mirpur 10 Block C
Mirpur 10 Block D
Mirpur 11 Block A
Mirpur 11 Block B
Mirpur 11 Block C
Mirpur 11 Block D
Mirpur 11 Block E
Mirpur 11 Block F
Mirpur 11 
Modina Nagar
Mirpur  13
Mirpur 13 / A 
Mirpur 13 / B
Mirpur 13 / C
Tinsed
Mirpur 14
Baishteki 
Mirpur 15
Palashnagar
Pallabi
Extended Pallabi
Mirput 6 New Pallabi
Milkvita Road
Sujatnagar
Harunabad
Mallika Housing Arambagh
Arifabad
Chhayanir
Mirpur 6
Mirpur 6 Block C
Mirpur 6 Block D
Mirpur 6 Block E
Mirpur 6 Block T
Mirpur 6 Block J
Mirpur 6 Alubdi
Mirpur 6 Duaripara
Mirpur 6
Rupnagar Tinshed
Eastern Housing 2nd Phase
Mirpur 2
Mirpur 2 Block A
Mirpur 2 Block B
Mirpur 2 Block C
Mirpur 2 Block D
Mirpur 2 Block E
Mirpur 2 Block F
Mirpur 2 Block-G
Mirpur 2 Block H
Mirpur 2 Block K
Mirpur 2 Block J 
Rupargarh Residential Area
Mirpur 6 Block A
Duaripara 6-a 
Duaripara 6-b 
Duaripara 6-t
Duaripara 6-j
Wapda Colony
Mirpur 1
Mirpur 1 Block A
Mirpur 1 Block B
Mirpur 1 Block C
Mirpur 1 Block D
Mirpur 1 Block E
Mirpur 1 Block G
Mirpur 1 Block G1
Mirpur 1 Block H
Mirpur 1 Commercial Plots
Mirpur 1 House B
Mirpur 1 House  C
Al Kamal Housing
Mirpur Zoo Residential Area
Nawab Bagh
Goran Chatbari
BISF Staff Quarters
Kumirshah Mazar & Box Nagar
North Bishal
Priyanka Housing
Botanical Garden Residential Area
Rainkhola Bazar
Tolarbag Residential Area
Zoo
Zoo Road
Baitul Mamur Jame Masjid
Janata Housing
Muktobangla shoping mall
Manikdi
Matikata
Balughat
Lalarasai
Dhamalcourt
Alubdirtech
Baigartech
Barontech
Bhashantech
Baridhara Residential Area 
Baridhara Residential Area  Block- I
Baridhara Residential Area Block K 
Baridhara Residential Area Block J 
Kalachandpur
Nardda
Shahjadpur 
Shahjadpur A
Shahjadpur B 
Shahjadpur C
Banani
Gulshan 1 
Gulshan 2
Karail
Mohakhali
Mohakhali - Gulshan 1 Link Road
Institute of Public Health
Niketan
Badda
North Badda
South Badda
Central Badda
Merul Badda
East Merul Badda
West Merul Badda
Gupipara Badda
Bansree
Rampura
West Rampura
East Rampura
Ulan
Bagichar Tech
Nasir Tech
Omar Ali Lane
West Hajipara
Badda - Gulshan-1 Link Road
Khilgaon
Khilgaon Zone B
Hajipara
Khilgaon East Hajipara
Malibagh
Malibagh Chowdhury Para 
Malibagh Bazar Road
