Dhanmondi R / A
Dhanmondi Road No. 15 Staff Quarters
Road No. 15 East Rayer Bazar & Eidgah Road
Sher-e-Bangla Road & Mitali Road
Haji Afsaruddin Road
Hatembagh,Free School Street Jackfruit Garden
North Road
Circular Road
Green Corner
Green Square (Green Road)
Green Road East
West End Street (West Street)
Al Amin Road
North Circular Road
Free School Street (Hatirpool)
Crescent Road,Lake Circus North Dhanmondi
Abeddhali Road
Bashir Uddin Road
North Dhanmondi
Kalabagan
Green Road West
Green Road Staff Quarters
Tallabagh
Shukrabad
Sobhanbagh
Nilkhet Babupura
Institute of Social Welfare and Research
Ayub Ali Colony and Rahim Square
Bangladesh-Kuwait Friendship Hall
Central Road
Naeem Nair Road
T.T. College
Govt Laboratory School Area & Dhaka College
Science Laboratory Staff Quarters
Elephant Road
Mirpur Road
New Elephant Road
BDR Peelkhana
Mintu Road
Kakrail
Circuit House Road
Siddheswari Road and Lane
Maghbazar Ispahani Colony
New Eskaton Road
Eskaton Garden Road
Aminabad Colony and Bailey. Colony and West Malibagh
Teak Garden
Topkhana Road
Bangabandhu Avenue and Rest House
T. B. Clinic Area
Dhaka Medical College Hospital and  R/ A
HC Staff Quarters & Suhrawardy Udyan
Fulbaria Station East Area
West Fulbaria & Secretariat Road
Abdul Gani Road & Secretariat Staff Quarters
West Old Railway Colony
Railway Hospital Area
And Toynbee Circular Road
Ramna Green House
University of Engineering and Residential Area
Nazrul Islam Hall
Ahsan Ullah Hall
Titumir Hall
Dhaka Medical College Hostel (Fazle Rabbi Hall)
Sher-e-Bangla Hall (University of Engineering)
Suhrawardy Hall (University of Engineering). 
Shahidullah Hall (Dhaka University)
Fazlul Haque Hall
Dr. MA Rashid Hall
Shahid Smriti Hall
University of Engineering Student Hall
Shahbag (Partial)
Dhaka University Residential Area Zahurul Haq Hall (Dhaka University)
Salimullah Hall
Sir AF Rahman Hall
Shamsun Nahar Hall
Jagannath Hall
Poet Jasim Uddin Hall (Dhaka University)
Freedom Fighter Ziaur Rahman Hall
Suryasen Hall
Haji Mohammad Mohsin Hall
Bangabandhu Sheikh Mojibur Rahman Hall
Mymensingh Lane
Mymensingh Road
P.G. Institute
National Museum Officers Quarters
P.G. Hospital & Central Public Library
Habibullah Road
International Hostel
Rokeya Hall
Paribagh Shah Saheb Road
Shahbag (Partial)
Khilgaon A and C Zone
Khilgaon Colony C
Goran
Meradia
East Basabo (End of Holding No. 29/1
West Basabo
North Basabo
South Basabo
North-East Basabo
Central Basabo
Basabo Wahab Colony
Mothertech
Mayakanan
Sabujbagh
North Mugdapara Deputy Colony
Ahmedbagh
Rajarbagh North and South
Kadamtala Basabo
East Basabo (Holding No. 1-59)
Mugdapara
Bangladesh Bank Colony and Sonali Bank Colony
R.K. Mission Road Gopi Bagh
Kamalapur
Motijheel
B Railway Barracks
Arambagh
Fakirapul
Fakirapul Bazar Area
Motijheel C / A
Dilkusha C / A
Bangabhaban
Motijheel Colony
(Hospital Zone
Al Helal Zone
Ideal Zone)
H Type Quarter
Postal Colony
T&T Colony
Bangladesh Bank Colony
Shahjahanpur
Shahjahanpur Railway Colony
South Khilgaon
Khilgaon Bagicha
Shahidbagh
Momenbagh
Outer Circular Road
Malibagh Bazar Road
(Motijheel Part)
Malibagh
Bakshi Bagh
Gulbagh
Shantibagh
Indrapuri
ChameliBagh & Aminbagh
Rajarbagh Police Line
Purana Paltan GPO
Baitul Mukarram Stadium
(Swimming Pool
Sports Council)
Outer Stadium
Bijoy Nagar
Naya Paltan
Purana Paltan Line
Traffic Police Barracks
Police Hospital & C & B Field
Shantinagar
Shantinagar Market Area
Birban Kachra
Gajmahal Road
Hazaribagh Tannery Area
Jigatala (Tin Majar)
South Sultanganj
Sonatnagar (Maneshwar)
Jigatala Staff Quarters
Maneshwar (Jigatala)
Shikaritola
Maneshwar (1-38)
Tallabagh and Mitali Road
Charakghata Tallabagh and Tali Office Road
South Madhubazar
Maneshwar Road
Maneshwar Lane
Baddanagar Lane
Borhanpur Lane
Kulal Mahal Lane
Kazirbagh Lane
Nabipur Lane
